,,,,,,,,,,,,,,,,,
,XIX. NN ULTRABALATON 2025 - KALKULÁTOR,,,,,,,,,,,,,,,,
,zöld mező: felhasználó tölti ki,,,,,,,,,,,,,,,,
,,,,,,,SZAKASZ HOSSZA,INDULÁS,ÉRKEZÉS,SZAKASZ NÉV,FUTÓ,KERÉKPÁROS,TEMPÓ,FUTÁSIDŐ,VÁLTÓPONTHOZ ÉRKEZÉS IDEJE,Napszak,Info
,8,Peti,7:00,25,"24,9",16,"3,4",Balatongyörök nyugat,Vonyarcvashegy kelet,ECOFAMILY,Nóri,Brigi,6:30,0:22:06,19:15:03,☀️,"A szakasz rövid, jól futható."
,9,Bianka,6:00,30,"28,5",17,"2,6",Vonyarcvashegy kelet,Gyenesdiás,NHKV,Lajek,Brigi,6:30,0:16:54,19:31:57,☀️,"Ezen a szakaszon is vasúti átjárókat keresztezel, piros jelzésnél tilos az áthaladás!"
,10,Gábor,6:00,12,"12,6",18,"1,7",Gyenesdiás,Keszthely kelet,UNITED SHIPPING,Lajek,Brigi,6:30,0:11:03,19:43:00,☀️,"A szakasz mindössze 1,7 km, így kezdő futók is vállalhatják. A ponton nagy parkoló található."
,11,Lajek,6:30,6,"4,3",19,"3,1",Keszthely kelet,Keszthely nyugat,,Regi,Máté,6:30,0:20:09,20:03:09,☀️,A szakasz mindössze 3 kilométer. A ponton a Halászcsárdát is figyelmetekbe ajánljuk! A halételek mellett a dödöllét is próbáljátok ki. A ponton BRINGÁSOK IS FRISSÍTHETNEK!
,12,,6:30,,"0,0",20,"4,8",Keszthely nyugat,Fenékpuszta,MIZUNO,Regi,Máté,6:30,0:31:12,20:34:21,🌙,"A szakasz végén, az út túloldalán lesz a nagy parkoló, így a pont megközelítésekor legyetek óvatosak a 71-es úton való átkelésnél! Kövessétek a forgalomirányítók utasítását parkolásnál a parkoló jó kihasználhatóságának érdekében."
,13,,6:00,,"0,0",21,"4,3",Fenékpuszta,Balatonberény nyugat,KELETI ÁGNES EMLÉK SZAKASZ,Regi,Máté,6:30,0:27:57,21:02:18,🌙,"Az UB TALÁN LEGKEVÉSBÉ KIVILÁGÍTOTT szakasza. A ponton nagyon kicsi a parkoló, így, ha tudjátok, ezt a szakaszt vonjátok össze a következővel!"
,,,,212,,22,"2,9",Balatonberény nyugat,Balatonberény focipálya,SYNLAB,Regi,Máté,6:30,0:18:51,21:21:09,🌙,"A szakasz első része igen sötét, de egyenes és jól futható. A ponton nagy parkolóra és büfére számíthattok."
,,,,,,23,4,Balatonberény focipálya,Balatonmáriafürdő nyugat,TARR MEDIA,Regi,Máté,6:30,0:26:00,21:47:09,🌙,"A szakasz sík, rövid, jól futható. A ponton épített wc is található!"
,,,,,,24,"5,2",Balatonmáriafürdő nyugat,Balatonmáriafürdő kelet,SMARTEQ,Regi,Máté,6:30,0:33:48,22:20:57,🌙,"A szakasz egyenes, sík, kezdő futóknak is bátran ajánljuk. Itt igazi csodát láttok majd az éjszakában! A ponton épített wc is található!"
,,,,,,25,"1,7",Balatonmáriafürdő kelet,Balatonfenyves nyugat,OTP,Levi,Máté,6:00,0:10:12,22:31:09,🌙,"A szakasz az UB egyik legrövidebb szakasza, mindössze 1,7 kilométer hosszú, mintha csak kezdő futóknak találtuk volna ki 🙂 Ha kevesled ezt a távot, javasoljuk, hogy növeld maxra a tempód, így biztos elég fárasztó lesz majd!"
,,,,,,26,"1,8",Balatonfenyves nyugat,Balatonfenyves kelet,,Levi,Máté,6:00,0:10:48,22:41:57,🌙,"A szakasz nyílegyenes és rövid, mindössze 1,8 km hosszú, sík jól futható. A pont a kikötőn belül lesz, ahol épített mosdók és zuhanyzási lehetőség is igénybe vehető! Mivel a ponton a Bringatúrások is frisstíhetnek, javasoljuk hogy itt álljatok majd meg!"
,,,,,,27,"4,6",Balatonfenyves kelet,Alsóbélatelep,,Levi,Máté,6:00,0:27:36,23:09:33,🌙,"A szakasz 4,6 km hosszú sík, jól futható, de a végén, a pont előtt keresztezi a vasutat! Legyetek körültekintőek! A ponton lángosos üzemel, de sajnos kevés a parkoló!"
,,,,,,28,"3,3",Alsóbélatelep,Fonyód,NN BIZTOSÍTÓ,Levi,Máté,6:00,0:19:48,23:29:21,🌙,"Az NN Biztosító szakasz végén lévő Fonyód váltópont igazi kuriózum, talán a déli oldal leglátványosabb pontja lesz! Bandázzatok itt is egy kicsit! A ponton van elég parkolóhely is ehhez."
,,,,,,29,"3,2",Fonyód,Fonyódliget,,Peti,Lajek,7:00,0:22:24,23:51:45,🌙,"A szakasz sík, jól futható és rövid. A ponton a parkoló nem sok, ezért kérjük, tartsátok be a forgalomirányítók jelzéseit!"
,,,,,,30,"5,3",Fonyódliget,Balatonboglár nyugat,,Peti,Lajek,7:00,0:37:06,0:28:51,🌙,Szép part menti szakasz is van az útvonalon.
,,,,,,31,1,Balatonboglár nyugat,Balatohboglár kelet,SCHNEIDER HUNGARY,Peti,Lajek,7:00,0:07:00,0:35:51,🌙,"A szakasz rövid, jól futható. A ponton a parkolóhelyek száma véges, ezért, ha megoldható, vonjátok össze ezt a szakaszt a következővel!"
,,,,,,32,"3,2",Balatohboglár kelet,Balatonlelle nyugat,BHS TRANS,Peti,Lajek,7:00,0:22:24,0:58:15,🌙,"A szakasz, sík és jól futható, a végén egy nagy parkolót találtok."
,,,,,,33,2,Balatonlelle nyugat,Balatonlelle kelet,BRIDGESTONE,Peti,Lajek,7:00,0:14:00,1:12:15,🌙,"Egy 2 kilométeres szakasz, a pontnál az út szélén sorban lehet parkolni."
,,,,,,34,"5,2",Balatonlelle kelet,Balatonszemes,,Peti,Lajek,7:00,0:36:24,1:48:39,🌙,A szakasz öt kilométer hosszú. A ponton BRINGÁSOK IS FRISSÍTHETNEK!
,,,,,,35,5,Balatonszemes,Balatonszárszó,,Peti,Lajek,7:00,0:35:00,2:23:39,🌙,"A szakasz jól futható, a pontot pedig a tűzoltók üzemeltetik, akikre nem csak a mindennapokban, hanem az UB-n is számíthattok! Zenés pont, nagy parkolóval!"
,,,,,,36,"3,5",Balatonszárszó,Balatonföldvár nyugat,,Gábor,Lajek,6:00,0:21:00,2:44:39,🌙,"A szakasz majdnem 4 kilométer és nyílegyenes, így itt biztos nem kell tarcket használnotok!"
,,,,,,37,"2,1",Balatonföldvár nyugat,Balatonföldvár kelet,GLS,Gábor,Lajek,6:00,0:12:36,2:57:15,🌙,"A szakasz mindössze 2 kilométer, nyílegyenes és jól futható."
,,,,,,38,"2,2",Balatonföldvár kelet,Szántód,,Lackó,Lajek,6:30,0:14:18,3:11:33,🌙,"A szakasz, gyors, jól futható, parkolásnál kövessétek a személyzet utasításait."
,,,,,,39,"2,9",Szántód,Zamárdi,,Lackó,Lajek,6:30,0:18:51,3:30:24,🌙,"A szakasz nem hosszú, de figyelmet igényel, mert több ponton is kanyargós az útvonal Zamárdiban. A ponton az épített wc is nyitva lesz, illetve a Parti Büfében is tudtok frissíteni és étkezni."
,,,,,,40,"5,3",Zamárdi,Balatonszéplak,SILVER TOJÁS,Lackó,Lajek,6:30,0:34:27,4:04:51,🌙,"A szakasz 5,3 km hosszú jól futható."
,,,,,,41,"2,2",Balatonszéplak,Siófok nyugat,,Lackó,Lajek,6:30,0:14:18,4:19:09,🌙,"A ezen szakasza mindössze 2,2 kilométer hosszú. A ponton van elég parkoló és itt is A ponton BRINGÁSOK IS FRISSÍTHETNEK!"
,,,,,,42,"3,3",Siófok nyugat,Siófok kampusz,DEBRECENI EGYETEM,Lilla,Lajek,6:30,0:21:27,4:40:36,🌙,"A ponton át kell futni az épületen, épített mosdó is található."
,,,,,,43,"2,8",Siófok kampusz,Siófok kelet,DREHER,Lilla,Lajek,6:30,0:18:12,4:58:48,🌙,"A szakasz majd&#8217; 3 kilométer hosszú, mely az Ezüstpartról indul és az Aranyparton ér véget. Pont annyit veszel majd ki belőle, mint amennyit beletöltesz."
